x,y,predicted_stage,stage_name,num_observations
23,18,0,bbch_00,1
24,18,0,bbch_00,1
27,18,0,bbch_00,1
25,18,0,bbch_00,1
26,18,0,bbch_00,1
28,18,0,bbch_00,1
29,18,0,bbch_00,1
32,18,0,bbch_00,1
30,18,0,bbch_00,1
31,18,0,bbch_00,1
33,18,0,bbch_00,1
34,18,3,bbch_51,1
36,18,0,bbch_00,1
35,18,3,bbch_51,1
37,18,0,bbch_00,1
38,18,0,bbch_00,1
40,18,0,bbch_00,1
41,18,0,bbch_00,1
39,18,0,bbch_00,1
42,18,0,bbch_00,1
43,18,0,bbch_00,1
44,18,6,bbch_99,1
45,18,0,bbch_00,1
46,18,2,bbch_31,1
47,18,4,bbch_75,1
0,19,2,bbch_31,1
1,19,2,bbch_31,1
2,19,0,bbch_00,1
3,19,0,bbch_00,1
6,19,3,bbch_51,1
4,19,0,bbch_00,1
5,19,3,bbch_51,1
7,19,3,bbch_51,1
8,19,3,bbch_51,1
9,19,3,bbch_51,1
10,19,3,bbch_51,1
12,19,3,bbch_51,1
13,19,3,bbch_51,1
11,19,3,bbch_51,1
16,19,3,bbch_51,1
17,19,3,bbch_51,1
14,19,3,bbch_51,1
15,19,3,bbch_51,1
18,19,3,bbch_51,1
21,19,3,bbch_51,1
20,19,3,bbch_51,1
19,19,3,bbch_51,1
22,19,3,bbch_51,1
23,19,3,bbch_51,1
24,19,0,bbch_00,1
25,19,0,bbch_00,1
26,19,0,bbch_00,1
27,19,0,bbch_00,1
28,19,0,bbch_00,1
31,19,0,bbch_00,1
29,19,0,bbch_00,1
30,19,0,bbch_00,1
32,19,0,bbch_00,1
33,19,0,bbch_00,1
35,19,0,bbch_00,1
34,19,0,bbch_00,1
37,19,0,bbch_00,1
36,19,0,bbch_00,1
38,19,0,bbch_00,1
40,19,0,bbch_00,1
39,19,0,bbch_00,1
41,19,0,bbch_00,1
42,19,0,bbch_00,1
43,19,0,bbch_00,1
44,19,6,bbch_99,1
47,19,6,bbch_99,1
0,20,2,bbch_31,1
46,19,0,bbch_00,1
45,19,0,bbch_00,1
2,20,0,bbch_00,1
1,20,2,bbch_31,1
3,20,0,bbch_00,1
4,20,3,bbch_51,1
6,20,3,bbch_51,1
5,20,0,bbch_00,1
7,20,3,bbch_51,1
